activityID,startTime_x,linkedEvents_x,gstID,startTime_y,linkedEvents_y,linkedActivityID,startTime_CME,startTime_GST,timeDiff
2013-06-02T20:24:00-CME-001,2013-06-02T20:24Z,[{'activityID': '2013-06-07T03:00:00-GST-001'}],2013-06-07T03:00:00-GST-001,2013-06-07T03:00Z,[{'activityID': '2013-06-02T20:24:00-CME-001'}],2013-06-02T20:24:00-CME-001,2013-06-02 20:24:00+00:00,2013-06-07 03:00:00+00:00,4 days 06:36:00
2013-09-29T22:40:00-CME-001,2013-09-29T22:40Z,"[{'activityID': '2013-09-30T05:05:00-SEP-001'}, {'activityID': '2013-10-02T01:54:00-IPS-001'}, {'activityID': '2013-10-02T02:47:00-MPC-001'}, {'activityID': '2013-10-02T03:00:00-GST-001'}]",2013-10-02T03:00:00-GST-001,2013-10-02T03:00Z,"[{'activityID': '2013-09-29T22:40:00-CME-001'}, {'activityID': '2013-10-02T01:54:00-IPS-001'}, {'activityID': '2013-10-02T02:47:00-MPC-001'}]",2013-09-29T22:40:00-CME-001,2013-09-29 22:40:00+00:00,2013-10-02 03:00:00+00:00,2 days 04:20:00
2013-12-04T23:12:00-CME-001,2013-12-04T23:12Z,"[{'activityID': '2013-12-08T00:00:00-IPS-001'}, {'activityID': '2013-12-08T00:00:00-GST-001'}, {'activityID': '2013-12-08T02:44:00-MPC-001'}]",2013-12-08T00:00:00-GST-001,2013-12-08T00:00Z,"[{'activityID': '2013-12-04T23:12:00-CME-001'}, {'activityID': '2013-12-07T21:30:00-HSS-001'}]",2013-12-04T23:12:00-CME-001,2013-12-04 23:12:00+00:00,2013-12-08 00:00:00+00:00,3 days 00:48:00
2014-02-16T14:15:00-CME-001,2014-02-16T14:15Z,"[{'activityID': '2014-02-18T05:00:00-IPS-001'}, {'activityID': '2014-02-19T03:00:00-GST-001'}, {'activityID': '2014-02-19T03:10:00-IPS-001'}]",2014-02-19T03:00:00-GST-001,2014-02-19T03:00Z,"[{'activityID': '2014-02-16T14:15:00-CME-001'}, {'activityID': '2014-02-19T03:10:00-IPS-001'}]",2014-02-16T14:15:00-CME-001,2014-02-16 14:15:00+00:00,2014-02-19 03:00:00+00:00,2 days 12:45:00
2014-02-18T01:25:00-CME-001,2014-02-18T01:25Z,"[{'activityID': '2014-02-20T02:50:00-IPS-001'}, {'activityID': '2014-02-20T03:00:00-GST-001'}]",2014-02-20T03:00:00-GST-001,2014-02-20T03:00Z,"[{'activityID': '2014-02-18T01:25:00-CME-001'}, {'activityID': '2014-02-20T02:50:00-IPS-001'}, {'activityID': '2014-02-20T05:14:00-MPC-001'}]",2014-02-18T01:25:00-CME-001,2014-02-18 01:25:00+00:00,2014-02-20 03:00:00+00:00,2 days 01:35:00
2014-02-25T01:25:00-CME-001,2014-02-25T01:25Z,"[{'activityID': '2014-02-25T00:41:00-FLR-001'}, {'activityID': '2014-02-25T06:05:00-SEP-001'}, {'activityID': '2014-02-25T13:55:00-SEP-001'}, {'activityID': '2014-02-27T16:10:00-IPS-001'}, {'activityID': '2014-02-27T18:00:00-GST-001'}, {'activityID': '2014-02-28T04:20:00-IPS-001'}]",2014-02-27T18:00:00-GST-001,2014-02-27T18:00Z,"[{'activityID': '2014-02-25T01:25:00-CME-001'}, {'activityID': '2014-02-27T16:10:00-IPS-001'}]",2014-02-25T01:25:00-CME-001,2014-02-25 01:25:00+00:00,2014-02-27 18:00:00+00:00,2 days 16:35:00
2014-06-04T13:25:00-CME-001,2014-06-04T13:25Z,"[{'activityID': '2014-06-07T16:09:00-IPS-001'}, {'activityID': '2014-06-08T03:00:00-GST-001'}, {'activityID': '2014-06-08T05:08:00-MPC-001'}]",2014-06-08T03:00:00-GST-001,2014-06-08T03:00Z,"[{'activityID': '2014-06-04T13:25:00-CME-001'}, {'activityID': '2014-06-07T16:09:00-IPS-001'}, {'activityID': '2014-06-08T05:08:00-MPC-001'}]",2014-06-04T13:25:00-CME-001,2014-06-04 13:25:00+00:00,2014-06-08 03:00:00+00:00,3 days 13:35:00
2014-08-15T21:12:00-CME-001,2014-08-15T21:12Z,"[{'activityID': '2014-08-19T05:57:00-IPS-001'}, {'activityID': '2014-08-19T21:00:00-GST-001'}]",2014-08-19T21:00:00-GST-001,2014-08-19T21:00Z,"[{'activityID': '2014-08-15T21:12:00-CME-001'}, {'activityID': '2014-08-19T05:57:00-IPS-001'}]",2014-08-15T21:12:00-CME-001,2014-08-15 21:12:00+00:00,2014-08-19 21:00:00+00:00,3 days 23:48:00
2014-09-10T18:18:00-CME-001,2014-09-10T18:18Z,"[{'activityID': '2014-09-10T17:21:00-FLR-001'}, {'activityID': '2014-09-11T02:40:00-SEP-001'}, {'activityID': '2014-09-11T04:25:00-SEP-001'}, {'activityID': '2014-09-12T15:00:00-GST-001'}, {'activityID': '2014-09-12T15:26:00-IPS-001'}]",2014-09-12T15:00:00-GST-001,2014-09-12T15:00Z,"[{'activityID': '2014-09-10T18:18:00-CME-001'}, {'activityID': '2014-09-12T15:26:00-IPS-001'}]",2014-09-10T18:18:00-CME-001,2014-09-10 18:18:00+00:00,2014-09-12 15:00:00+00:00,1 days 20:42:00
2015-03-15T02:00:00-CME-001,2015-03-15T02:00Z,"[{'activityID': '2015-03-15T01:15:00-FLR-001'}, {'activityID': '2015-03-16T07:36:00-SEP-001'}, {'activityID': '2015-03-17T04:05:00-IPS-001'}, {'activityID': '2015-03-17T06:00:00-GST-001'}, {'activityID': '2015-03-17T06:23:00-MPC-001'}]",2015-03-17T06:00:00-GST-001,2015-03-17T06:00Z,"[{'activityID': '2015-03-15T02:00:00-CME-001'}, {'activityID': '2015-03-17T04:05:00-IPS-001'}, {'activityID': '2015-03-16T00:00:00-HSS-001'}]",2015-03-15T02:00:00-CME-001,2015-03-15 02:00:00+00:00,2015-03-17 06:00:00+00:00,2 days 04:00:00
